uai;nom_etablissement;lattitude;ips;total_eleves_hors_segpa_ulis;total_eleves_segpa;total_eleves_ulis;pourcentage_filles
0771841H;Collège le Luzard;48.846480601359104;89.8;437;0;16;48.58916498691116594400
0080017A;Collège les Aurains;49.99152690428677;91.0;237;27;10;47.46130303560538104500
0421487N;Collège Jacques Prévert;45.52948793571253;102.7;900;63;13;49.22968206888688461600
9760379H;Collège de Boueni;-12.923897407828887;100.1;657;101;13;50.18212794693988807200
0911152H;Collège Jean Moulin;48.580393325882895;99.3;815;0;0;52.09468895290818774600
0541501N;Collège Louis Armand;48.67062395524581;93.9;354;0;4;50.33486143626642561000
0930893R;Collège Roger Martin du Gard;48.95106537403395;77.4;814;41;14;51.28376016795619683000
0380013H;Collège Nelson Mandela;45.132686918601145;81.4;401;0;0;52.08482710665210557700
0660016J;Collège la Garrigole;42.69462404489727;78.7;409;0;17;48.70845364037212405100
0692340U;Collège Henri Longchambon;45.72596123674255;76.6;576;61;11;48.43327090021899599300
0340016H;Collège la Dullague;43.343229897748;81.6;494;0;13;50.78917399019347128500
0761701L;Collège Roncherolles;49.57052160326197;89.1;585;64;12;47.80660478913211793700
0595782P;Collège du Moulin;51.01131527401728;74.2;314;0;14;49.76533478947046647200
0110026U;Collège Jules Ferry;43.178945456593006;96.5;633;59;0;49.28964903224067003900
0601449Z;Collège Jules Michelet;49.26291200924911;85.6;533;59;14;47.09024112987478936200
0590109Y;Collège Eugène Thomas;50.29315859345641;71.7;298;0;13;50.74963088442142409100
0940794C;Collège Gustave Monod;48.789303375322085;76.8;491;0;0;44.76006733141845334200
0170081W;Collège La Fayette;45.929442164610386;93.3;327;82;0;46.73503255355182978400
0750507U;Collège Georges Brassens;48.884330009442614;102.5;525;58;0;47.44565823570526672900
0710534V;Collège Robert Schuman;46.32001804781104;79.2;415;60;0;45.49647888853152489800
9740702V;Collège Hubert Delisle;-21.032460287583415;77.4;560;123;17;44.90785189946114218900
9730337D;Ma Aiye - Collège d'Apatou;5.159839273121396;70.6;506;46;31;47.99830732505096708500
0762133F;Collège Pablo Picasso;49.377864194569106;87.5;458;0;0;48.11164831057291861300
9760180S;Collège Mariama Salim de Sada;-12.850275915080264;89.5;1113;0;11;48.88840430995964149200
0340051W;Collège Fontcarrade;43.60758772509732;93.8;499;0;13;45.90281540640426139700
0110010B;Collège André Chénier;43.21227879537586;101.7;367;0;0;50.74421185975567388300
0622098U;Collège Emile Zola;50.4287649601296;84.1;352;0;0;52.84322517768174289400
0870071E;Collège Pierre Donzelot;45.8326110104398;111.0;719;0;0;46.56898549994128823300
0500095G;Collège Louis Pasteur;49.114205582373465;91.6;312;62;14;53.17303679758289026100
0620119T;Collège Pierre et Marie Curie;50.43556699322092;78.5;599;58;0;50.93339698268929383900
0180766K;Collège le Grand Meaulnes;47.09925744545022;85.5;279;0;11;42.86957837183983632000
0420035K;Collège Jean de La Fontaine;46.02819681803356;92.6;570;62;13;50.04278488962400903200
0940791Z;Collège Pierre Brossolette;48.73275912469773;80.7;535;62;0;48.44081070705420351800
0631522M;Collège Albert Camus;45.80771203821128;73.7;487;51;12;48.78238647853905666600
0941052H;Collège Fernande Flagon;48.75023862132853;91.2;540;0;0;47.50161516342105563100
0840762X;Collège Barbara Hendricks;44.14299591349081;82.4;535;0;13;46.86041339961491625800
0760086F;Collège Louis Pasteur;49.389923469262065;95.8;494;0;0;49.46458976907953415000
0660016J;Collège la Garrigole;42.69462404489727;78.7;434;0;14;48.70845364037212405100
0600018U;Collège Gaëtan Denain;49.410872621247876;81.2;460;0;0;50.51222866780472604600
9740037X;Collège Gaston Crochet;-21.137412854368446;82.2;465;0;8;50.02368132591715827100
0141268C;Collège Guillaume de Normandie;49.16098458295274;82.5;623;0;10;47.81729467041873970200
0910971L;Collège Les Sablons;48.66873268234934;86.4;564;61;6;48.86501189581904097100
0594168K;Collège Jean Zay;50.29266344220489;85.5;293;0;0;50.94183199497363283400
0132217P;Collège Mont-Sauvy;43.7960920994055;91.6;591;63;0;49.41040314710437530900
0942482M;Collège Samuel Paty;48.738794699809475;86.3;385;0;0;50.07917369226893036400
0360544W;Collège Denis Diderot;46.94493413362061;90.9;372;0;9;48.28137430819193565900
0801512J;Collège de Ponthieu;50.09629213281906;88.3;601;65;26;45.98373689716724582800
0620079Z;Collège Henri Wallon;50.47042647481198;79.1;403;0;3;50.58113979134110895500
0680084X;Collège Molière;48.07362069680313;66.7;394;104;18;53.69700196651946455200
0331888Y;Collège du Val de Saye;45.139329958860735;91.8;744;0;14;48.98311231006890656500
0560223N;Collège Antoine de Saint-Exupéry;47.67575695230633;101.9;502;71;0;49.42007603300821388500
0511251H;Collège Joliot-Curie;49.231894423087184;68.2;395;60;0;51.42431080403988581200
0251209D;Collège Anatole France;47.53840507018112;74.5;361;0;0;52.09825979294639941400
0610057F;Collège Jean Monnet;48.74029575145305;82.1;334;52;8;48.31374121464926204400
0132408X;Collège Jules Ferry;43.3425610267601;67.8;468;0;10;48.46213788785353578400
0300946R;Collège Révolution;43.84112772205835;121.8;422;0;12;47.82936786146839932000
0691664J;Collège Jean Jaurès;45.75759880249377;84.4;715;50;14;51.18469837460971980500
0160884Z;Collège Marguerite de Valois;45.655571467534074;83.9;353;0;0;43.49174249552706525600
0350760L;Collège Cleunay;48.098814254968495;96.6;392;0;14;47.62751299817143851200
0940749D;Collège Roland Garros;48.75162969308217;75.2;615;0;0;51.47122476553531026900
0060840F;Collège Frédéric Mistral;43.67372499276318;83.9;742;61;27;47.46922934743515839000
9760230W;Collège de M'Tsamboro;-12.68412404777842;70.4;1283;67;15;49.49730652166024646800
0850015E;Collège les Sicardières;46.71617095294929;101.3;109;0;0;49.60712918332797909100
0950739M;Collège Antoine de Saint-Exupéry;48.994224163369246;86.2;592;53;0;48.48582853836944059200
0580599L;Collège Adam Billaut;47.00666934303448;97.6;390;0;26;52.75739921445475933500
0693093M;Collège du Tonkin;45.77637926436517;92.4;409;0;19;49.22583039073756582500
0931185H;Collège Gabriel Péri;48.91838924269135;75.2;737;0;0;49.94483647841516645100
0390924T;Collège Pré Saint-Sauveur;46.3794007022961;85.8;372;50;14;52.62199049015646403100
9720412R;Collège Fernand Donatien;14.607765645215366;82.1;360;113;0;48.64222823261117209600
0771618R;Collège les Maillettes;48.623866275210915;88.8;569;0;0;48.00525048329483259400
0931707A;Collège Pablo Picasso;48.89959545083097;89.9;642;60;0;47.77872435684213444500
0931195U;Collège Auguste Delaune;48.9080996768158;79.0;594;0;13;49.59621614345932134400
0360544W;Collège Denis Diderot;46.94493413362061;90.9;396;0;8;48.28137430819193565900
0941034N;Collège Joseph Lakanal;48.793714454965944;84.0;441;0;0;50.47406953740425536300
0210024M;Collège Jean-François Champollion;47.33200748662968;101.0;499;0;6;47.59936383061222659200
0730901H;Collège Côte Rousse;45.59073765125101;78.6;603;0;0;54.87214736326829943700
0594288R;Collège Louise Michel;50.60615198731221;67.9;419;0;0;49.94727423521224828500
0572166V;Collège Paul Valéry;49.10919627118946;88.4;607;55;13;51.58447700956003880100
0381604M;Collège Vercors;45.177163473158906;80.8;368;0;0;51.61040877483577780900
0711135Y;Collège Antoine de Saint-Exupéry;46.67937522726497;91.8;403;0;12;49.43701720620409153800
0931546A;Collège Jean Jaurès;48.89785832936402;89.6;670;0;14;47.07688270249934267200
0421487N;Collège Jacques Prévert;45.52948793571253;102.7;863;57;12;49.22968206888688461600
0451070U;Collège Montesquieu;47.833157310219086;81.3;507;46;18;51.66085399250370675000
0030021G;Collège André Boutry;46.73330275355253;89.0;179;0;0;51.16011672315551625900
0810961E;Collège Thomas Pesquet;43.58103798657234;80.8;404;0;12;45.53227835237228812400
0590031N;Collège Jean Macé;50.399192131331574;76.9;494;48;13;51.64458778859298996100
0680110A;Collège Jean Macé;47.73355948572547;67.4;524;75;18;48.46082557539894123800
0751707Y;Collège Edouard Pailleron;48.881249726863615;104.6;355;53;11;50.22454368161585032200
0570104D;Collège Nicolas Untersteller;49.19226476766512;68.3;461;0;23;48.28907510280664608200
0240056F;Collège des trois Vallées;45.02510355831413;97.6;353;0;0;47.10096982239577606900
9730091L;Collège Paul Kapel;4.928757212494947;74.8;848;0;39;49.67736205491074230600
0772090D;Collège Jean Wiener;48.84647493451301;98.5;324;54;13;51.82816849527256243500
0780255D;Collège Albert Thierry;48.99785974657149;84.2;620;0;0;50.34502187900454832800
9740091F;Collège Leconte de Lisle;-21.274360180227163;75.5;752;0;23;50.66237547390307659000
0941092B;Collège Elsa Triolet;48.80350498297044;78.5;375;0;0;49.94675343008550767400
9740546A;Collège Marcel Goulette;-21.21737393373981;92.0;1126;0;24;48.78600849696383553000
0080954U;Collège Bayard;49.757769604557474;82.4;275;0;0;46.87176516034620119200
0210024M;Collège Jean-François Champollion;47.33200748662968;101.0;525;0;8;47.59936383061222659200
0593179K;Collège Claude Lévi-Strauss;50.63147124244808;83.9;515;0;0;46.84920886915285109400
9730329V;Collège Paul Jean Louis;5.481067756110026;65.2;1101;110;12;49.25911972372179672000
0931883S;Collège René Cassin;48.89900547863601;77.8;309;0;13;49.81452140675112465500
0932273R;Collège Iqbal Masih;48.9119109249613;78.2;465;0;12;48.38894853580659902200
0331753B;Collège Blanqui;44.873897200336074;85.5;385;0;0;47.24370908426197792300
0593686L;Collège Jacques Brel;50.26333776604779;69.0;306;0;0;48.80568449553362817600
0820588U;Collège Olympe de Gouges;44.015525470540524;96.7;1090;62;30;48.03417554569191756500
0110788X;Collège Montesquieu;43.193408455633985;88.5;445;63;29;50.20582292843007874300
0910718L;Collège Louis Pasteur;48.69134000742672;92.2;724;0;0;49.69514334298347182100
0370791J;Collège Arche-du-Lude;47.346168623440334;75.3;214;0;0;46.73108152102864855800
0421452A;Collège Gambetta;45.43407784755134;88.2;855;0;7;48.48296981595739063300
0311851U;Collège Leclerc;43.1087587242333;96.2;399;0;13;53.53083043168444492900
0741165P;Collège Michel Servet;46.19285076495058;82.8;1099;0;12;49.79510673265229874800
0030010V;Collège Maurice Constantin Weyer;46.13596769070815;92.0;607;64;11;51.50989019174665254800
9760119A;Collège de Chiconi;-12.832907262109957;77.4;873;0;14;49.46597951440556907600
0594405T;Collège Victor Hugo;50.36153891792843;85.2;572;79;13;47.10047949455331400300
0080068F;Collège Rouget-de-Lisle;49.786787804752535;80.6;172;0;11;47.61987301320727902800
0660523K;Collège Paul Langevin;42.61323232220601;96.5;995;0;15;50.67550606367487467600
0080894D;Collège Salengro;49.75156084497803;66.2;279;57;0;45.55718375550967981400
0132322D;Collège Paul Eluard;43.41282157756637;90.2;491;0;0;50.23930992738725674400
0870817R;Collège Auguste Renoir;45.823354395912105;103.7;480;0;13;52.15974245608329729000
0750507U;Collège Georges Brassens;48.884330009442614;102.5;517;58;0;47.44565823570526672900
0261086P;Collège Europa;44.557588652018566;89.1;608;0;14;48.92233464160306168800
0451070U;Collège Montesquieu;47.833157310219086;81.3;552;50;24;51.66085399250370675000
9740618D;Collège Boris GAMALEYA Les Alizés;-20.899458351893493;77.6;508;60;12;49.35562246796183567100
0781977A;Collège Clemenceau;48.9992770233984;75.7;324;0;12;44.68475474849514986100
